"No.","Time","Source","Destination","Protocol","Length","Info"
"27","1.677605","213.179.201.189","10.12.223.178","UDP","60","50007  >  55354 Len=8"
"36","2.028370","213.179.201.189","10.12.223.178","UDP","60","50007  >  58860 Len=8"
"53","3.463748","213.179.201.189","10.12.223.178","UDP","542","50007  >  58860 Len=500"
"54","3.465819","213.179.201.189","10.12.223.178","UDP","542","50007  >  55354 Len=500"
"58","3.485985","213.179.201.189","10.12.223.178","UDP","356","50007  >  55354 Len=314"
"59","3.485985","213.179.201.189","10.12.223.178","UDP","356","50007  >  58860 Len=314"
"60","3.504489","213.179.201.189","10.12.223.178","UDP","492","50007  >  58860 Len=450"
"61","3.504489","213.179.201.189","10.12.223.178","UDP","492","50007  >  55354 Len=450"
"63","3.522578","213.179.201.189","10.12.223.178","UDP","402","50007  >  55354 Len=360"
"64","3.522578","213.179.201.189","10.12.223.178","UDP","402","50007  >  58860 Len=360"
"67","3.542230","213.179.201.189","10.12.223.178","UDP","420","50007  >  58860 Len=378"
"68","3.542230","213.179.201.189","10.12.223.178","UDP","420","50007  >  55354 Len=378"
"69","3.560943","213.179.201.189","10.12.223.178","UDP","452","50007  >  58860 Len=410"
"70","3.560943","213.179.201.189","10.12.223.178","UDP","452","50007  >  55354 Len=410"
"71","3.583236","213.179.201.189","10.12.223.178","UDP","409","50007  >  58860 Len=367"
"72","3.583236","213.179.201.189","10.12.223.178","UDP","409","50007  >  55354 Len=367"
"73","3.604645","213.179.201.189","10.12.223.178","UDP","407","50007  >  55354 Len=365"
"74","3.604645","213.179.201.189","10.12.223.178","UDP","407","50007  >  58860 Len=365"
"76","3.621994","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"77","3.621994","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"78","3.640458","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"79","3.640458","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"80","3.661159","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"81","3.661159","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"83","3.683195","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"84","3.683195","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"85","3.703129","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"86","3.703129","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"90","3.724185","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"91","3.724185","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"94","3.741536","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"95","3.741536","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"97","3.762424","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"98","3.762424","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"100","3.782520","213.179.201.189","10.12.223.178","UDP","392","50007  >  58860 Len=350"
"101","3.782520","213.179.201.189","10.12.223.178","UDP","392","50007  >  55354 Len=350"
"102","3.807708","213.179.201.189","10.12.223.178","UDP","398","50007  >  58860 Len=356"
"103","3.807708","213.179.201.189","10.12.223.178","UDP","398","50007  >  55354 Len=356"
"104","3.822078","213.179.201.189","10.12.223.178","UDP","391","50007  >  55354 Len=349"
"105","3.822078","213.179.201.189","10.12.223.178","UDP","391","50007  >  58860 Len=349"
"106","3.843752","213.179.201.189","10.12.223.178","UDP","399","50007  >  58860 Len=357"
"107","3.843752","213.179.201.189","10.12.223.178","UDP","399","50007  >  55354 Len=357"
"108","3.863001","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"109","3.863001","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"110","3.882121","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"111","3.882121","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"112","3.902495","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"113","3.902495","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"114","3.922848","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"115","3.922848","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"116","3.941223","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"117","3.941223","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"118","3.962015","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"119","3.962015","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"120","3.980957","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"121","3.980957","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"123","4.004311","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"124","4.004311","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"126","4.025597","213.179.201.189","10.12.223.178","UDP","373","50007  >  55354 Len=331"
"127","4.025597","213.179.201.189","10.12.223.178","UDP","373","50007  >  58860 Len=331"
"128","4.042243","213.179.201.189","10.12.223.178","UDP","417","50007  >  58860 Len=375"
"129","4.042243","213.179.201.189","10.12.223.178","UDP","417","50007  >  55354 Len=375"
"130","4.061108","213.179.201.189","10.12.223.178","UDP","356","50007  >  58860 Len=314"
"131","4.064901","213.179.201.189","10.12.223.178","UDP","356","50007  >  55354 Len=314"
"132","4.082820","213.179.201.189","10.12.223.178","UDP","380","50007  >  55354 Len=338"
"133","4.082820","213.179.201.189","10.12.223.178","UDP","380","50007  >  58860 Len=338"
"134","4.100875","213.179.201.189","10.12.223.178","UDP","385","50007  >  55354 Len=343"
"135","4.100875","213.179.201.189","10.12.223.178","UDP","385","50007  >  58860 Len=343"
"136","4.122797","213.179.201.189","10.12.223.178","UDP","394","50007  >  58860 Len=352"
"137","4.122797","213.179.201.189","10.12.223.178","UDP","394","50007  >  55354 Len=352"
"138","4.145956","213.179.201.189","10.12.223.178","UDP","392","50007  >  58860 Len=350"
"139","4.145956","213.179.201.189","10.12.223.178","UDP","392","50007  >  55354 Len=350"
"140","4.160791","213.179.201.189","10.12.223.178","UDP","390","50007  >  58860 Len=348"
"141","4.160791","213.179.201.189","10.12.223.178","UDP","390","50007  >  55354 Len=348"
"142","4.256869","213.179.201.189","10.12.223.178","UDP","437","50007  >  55354 Len=395"
"143","4.256869","213.179.201.189","10.12.223.178","UDP","390","50007  >  55354 Len=348"
"144","4.259281","213.179.201.189","10.12.223.178","UDP","437","50007  >  58860 Len=395"
"145","4.259281","213.179.201.189","10.12.223.178","UDP","390","50007  >  58860 Len=348"
"146","4.259281","213.179.201.189","10.12.223.178","UDP","431","50007  >  58860 Len=389"
"147","4.259281","213.179.201.189","10.12.223.178","UDP","431","50007  >  55354 Len=389"
"148","4.259281","213.179.201.189","10.12.223.178","UDP","376","50007  >  55354 Len=334"
"149","4.259281","213.179.201.189","10.12.223.178","UDP","376","50007  >  58860 Len=334"
"150","4.264117","213.179.201.189","10.12.223.178","UDP","414","50007  >  55354 Len=372"
"151","4.264117","213.179.201.189","10.12.223.178","UDP","414","50007  >  58860 Len=372"
"152","4.283250","213.179.201.189","10.12.223.178","UDP","334","50007  >  55354 Len=292"
"153","4.283250","213.179.201.189","10.12.223.178","UDP","334","50007  >  58860 Len=292"
"154","4.304640","213.179.201.189","10.12.223.178","UDP","314","50007  >  58860 Len=272"
"155","4.304640","213.179.201.189","10.12.223.178","UDP","314","50007  >  55354 Len=272"
"156","4.330304","213.179.201.189","10.12.223.178","UDP","323","50007  >  58860 Len=281"
"157","4.333798","213.179.201.189","10.12.223.178","UDP","323","50007  >  55354 Len=281"
"158","4.341365","213.179.201.189","10.12.223.178","UDP","322","50007  >  55354 Len=280"
"159","4.341365","213.179.201.189","10.12.223.178","UDP","322","50007  >  58860 Len=280"
"160","4.363431","213.179.201.189","10.12.223.178","UDP","362","50007  >  55354 Len=320"
"161","4.363431","213.179.201.189","10.12.223.178","UDP","362","50007  >  58860 Len=320"
"162","4.381179","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"163","4.382581","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"164","4.402860","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"165","4.402860","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"166","4.430109","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"167","4.430109","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"168","4.442481","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"169","4.442481","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"170","4.462097","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"171","4.462097","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"172","4.481473","213.179.201.189","10.12.223.178","UDP","395","50007  >  58860 Len=353"
"173","4.482718","213.179.201.189","10.12.223.178","UDP","395","50007  >  55354 Len=353"
"174","4.503534","213.179.201.189","10.12.223.178","UDP","553","50007  >  58860 Len=511"
"175","4.503534","213.179.201.189","10.12.223.178","UDP","553","50007  >  55354 Len=511"
"176","4.521831","213.179.201.189","10.12.223.178","UDP","354","50007  >  55354 Len=312"
"177","4.521831","213.179.201.189","10.12.223.178","UDP","354","50007  >  58860 Len=312"
"180","4.545409","213.179.201.189","10.12.223.178","UDP","543","50007  >  58860 Len=501"
"181","4.545409","213.179.201.189","10.12.223.178","UDP","543","50007  >  55354 Len=501"
"182","4.564018","213.179.201.189","10.12.223.178","UDP","368","50007  >  55354 Len=326"
"183","4.564018","213.179.201.189","10.12.223.178","UDP","368","50007  >  58860 Len=326"
"184","4.580919","213.179.201.189","10.12.223.178","UDP","349","50007  >  58860 Len=307"
"185","4.584605","213.179.201.189","10.12.223.178","UDP","349","50007  >  55354 Len=307"
"186","4.602555","213.179.201.189","10.12.223.178","UDP","361","50007  >  55354 Len=319"
"187","4.602555","213.179.201.189","10.12.223.178","UDP","361","50007  >  58860 Len=319"
"188","4.622867","213.179.201.189","10.12.223.178","UDP","380","50007  >  55354 Len=338"
"189","4.622867","213.179.201.189","10.12.223.178","UDP","380","50007  >  58860 Len=338"
"190","4.640984","213.179.201.189","10.12.223.178","UDP","412","50007  >  58860 Len=370"
"191","4.640984","213.179.201.189","10.12.223.178","UDP","412","50007  >  55354 Len=370"
"192","4.667605","213.179.201.189","10.12.223.178","UDP","416","50007  >  55354 Len=374"
