"No.","Time","Source","Destination","Protocol","Length","Info"
"16","1.261603","213.179.201.189","10.12.223.178","UDP","60","50007  >  57568 Len=8"
"73","4.959752","213.179.201.189","10.12.223.178","UDP","60","50007  >  55354 Len=8"
"78","5.274827","213.179.201.189","10.12.223.178","UDP","115","50007  >  57568 Len=73"
"79","5.277039","213.179.201.189","10.12.223.178","UDP","115","50007  >  55354 Len=73"
"82","5.303365","213.179.201.189","10.12.223.178","UDP","120","50007  >  57568 Len=78"
"83","5.303365","213.179.201.189","10.12.223.178","UDP","120","50007  >  55354 Len=78"
"84","5.313176","213.179.201.189","10.12.223.178","UDP","128","50007  >  57568 Len=86"
"85","5.315660","213.179.201.189","10.12.223.178","UDP","128","50007  >  55354 Len=86"
"88","5.333170","213.179.201.189","10.12.223.178","UDP","124","50007  >  57568 Len=82"
"89","5.341121","213.179.201.189","10.12.223.178","UDP","124","50007  >  55354 Len=82"
"90","5.361009","213.179.201.189","10.12.223.178","UDP","107","50007  >  57568 Len=65"
"91","5.361009","213.179.201.189","10.12.223.178","UDP","107","50007  >  55354 Len=65"
"92","5.374851","213.179.201.189","10.12.223.178","UDP","110","50007  >  57568 Len=68"
"93","5.375024","213.179.201.189","10.12.223.178","UDP","110","50007  >  55354 Len=68"
"94","5.392180","213.179.201.189","10.12.223.178","UDP","124","50007  >  57568 Len=82"
"95","5.393112","213.179.201.189","10.12.223.178","UDP","124","50007  >  55354 Len=82"
"96","5.411396","213.179.201.189","10.12.223.178","UDP","124","50007  >  57568 Len=82"
"97","5.412597","213.179.201.189","10.12.223.178","UDP","124","50007  >  55354 Len=82"
"98","5.432700","213.179.201.189","10.12.223.178","UDP","130","50007  >  57568 Len=88"
"99","5.432700","213.179.201.189","10.12.223.178","UDP","130","50007  >  55354 Len=88"
"100","5.451797","213.179.201.189","10.12.223.178","UDP","124","50007  >  57568 Len=82"
"101","5.452538","213.179.201.189","10.12.223.178","UDP","124","50007  >  55354 Len=82"
"102","5.473340","213.179.201.189","10.12.223.178","UDP","125","50007  >  57568 Len=83"
"103","5.475959","213.179.201.189","10.12.223.178","UDP","125","50007  >  55354 Len=83"
"104","5.491673","213.179.201.189","10.12.223.178","UDP","125","50007  >  57568 Len=83"
"105","5.492647","213.179.201.189","10.12.223.178","UDP","125","50007  >  55354 Len=83"
"106","5.513153","213.179.201.189","10.12.223.178","UDP","119","50007  >  57568 Len=77"
"107","5.513812","213.179.201.189","10.12.223.178","UDP","119","50007  >  55354 Len=77"
"109","5.533156","213.179.201.189","10.12.223.178","UDP","119","50007  >  57568 Len=77"
"110","5.534308","213.179.201.189","10.12.223.178","UDP","119","50007  >  55354 Len=77"
"112","5.552773","213.179.201.189","10.12.223.178","UDP","111","50007  >  57568 Len=69"
"113","5.553395","213.179.201.189","10.12.223.178","UDP","111","50007  >  55354 Len=69"
"114","5.573181","213.179.201.189","10.12.223.178","UDP","112","50007  >  57568 Len=70"
"115","5.574124","213.179.201.189","10.12.223.178","UDP","112","50007  >  55354 Len=70"
"118","5.592781","213.179.201.189","10.12.223.178","UDP","108","50007  >  57568 Len=66"
"119","5.593807","213.179.201.189","10.12.223.178","UDP","108","50007  >  55354 Len=66"
"120","5.612116","213.179.201.189","10.12.223.178","UDP","110","50007  >  57568 Len=68"
"121","5.615392","213.179.201.189","10.12.223.178","UDP","110","50007  >  55354 Len=68"
"122","5.637877","213.179.201.189","10.12.223.178","UDP","108","50007  >  57568 Len=66"
"123","5.640008","213.179.201.189","10.12.223.178","UDP","108","50007  >  55354 Len=66"
"124","5.653341","213.179.201.189","10.12.223.178","UDP","108","50007  >  57568 Len=66"
"125","5.653341","213.179.201.189","10.12.223.178","UDP","108","50007  >  55354 Len=66"
"126","5.674865","213.179.201.189","10.12.223.178","UDP","110","50007  >  57568 Len=68"
"127","5.674865","213.179.201.189","10.12.223.178","UDP","110","50007  >  55354 Len=68"
