"No.","Time","Source","Destination","Protocol","Length","Info"
"38","2.525255","213.179.201.189","10.12.223.178","UDP","60","50007  >  59010 Len=8"
"44","3.468039","213.179.201.189","10.12.223.178","UDP","60","50007  >  55354 Len=8"
"86","6.064770","213.179.201.189","10.12.223.178","UDP","77","50007  >  59010 Len=35"
"87","6.064770","213.179.201.189","10.12.223.178","UDP","77","50007  >  55354 Len=35"
"88","6.090442","213.179.201.189","10.12.223.178","UDP","608","50007  >  59010 Len=566"
"89","6.090442","213.179.201.189","10.12.223.178","UDP","608","50007  >  55354 Len=566"
"92","6.101088","213.179.201.189","10.12.223.178","UDP","490","50007  >  59010 Len=448"
"93","6.102066","213.179.201.189","10.12.223.178","UDP","490","50007  >  55354 Len=448"
"94","6.122625","213.179.201.189","10.12.223.178","UDP","378","50007  >  59010 Len=336"
"95","6.125080","213.179.201.189","10.12.223.178","UDP","378","50007  >  55354 Len=336"
"96","6.142810","213.179.201.189","10.12.223.178","UDP","380","50007  >  59010 Len=338"
"97","6.142964","213.179.201.189","10.12.223.178","UDP","380","50007  >  55354 Len=338"
"100","6.164106","213.179.201.189","10.12.223.178","UDP","373","50007  >  59010 Len=331"
"101","6.164106","213.179.201.189","10.12.223.178","UDP","373","50007  >  55354 Len=331"
"102","6.184751","213.179.201.189","10.12.223.178","UDP","379","50007  >  59010 Len=337"
"103","6.184751","213.179.201.189","10.12.223.178","UDP","379","50007  >  55354 Len=337"
"104","6.200949","213.179.201.189","10.12.223.178","UDP","379","50007  >  59010 Len=337"
"105","6.203986","213.179.201.189","10.12.223.178","UDP","379","50007  >  55354 Len=337"
"106","6.221135","213.179.201.189","10.12.223.178","UDP","379","50007  >  59010 Len=337"
"107","6.222107","213.179.201.189","10.12.223.178","UDP","379","50007  >  55354 Len=337"
"109","6.240821","213.179.201.189","10.12.223.178","UDP","378","50007  >  59010 Len=336"
"110","6.241856","213.179.201.189","10.12.223.178","UDP","378","50007  >  55354 Len=336"
"111","6.263879","213.179.201.189","10.12.223.178","UDP","382","50007  >  59010 Len=340"
"112","6.263879","213.179.201.189","10.12.223.178","UDP","382","50007  >  55354 Len=340"
"113","6.280951","213.179.201.189","10.12.223.178","UDP","377","50007  >  59010 Len=335"
"114","6.284144","213.179.201.189","10.12.223.178","UDP","377","50007  >  55354 Len=335"
"115","6.302289","213.179.201.189","10.12.223.178","UDP","379","50007  >  59010 Len=337"
"116","6.302289","213.179.201.189","10.12.223.178","UDP","379","50007  >  55354 Len=337"
"117","6.326022","213.179.201.189","10.12.223.178","UDP","376","50007  >  59010 Len=334"
"118","6.326022","213.179.201.189","10.12.223.178","UDP","376","50007  >  55354 Len=334"
"119","6.342431","213.179.201.189","10.12.223.178","UDP","377","50007  >  59010 Len=335"
"120","6.343316","213.179.201.189","10.12.223.178","UDP","377","50007  >  55354 Len=335"
"123","6.361641","213.179.201.189","10.12.223.178","UDP","378","50007  >  59010 Len=336"
