"No.","Time","Source","Destination","Protocol","Length","Info"
"38","2.429937","213.179.201.175","10.12.223.178","UDP","60","50005  >  50868 Len=8"
"69","4.570166","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"88","7.431450","213.179.201.175","10.12.223.178","UDP","60","50005  >  50868 Len=8"
"121","9.499524","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"139","11.109685","213.179.201.175","10.12.223.178","UDP","89","50005  >  60052 Len=47"
"140","11.109685","213.179.201.175","10.12.223.178","UDP","89","50005  >  50868 Len=47"
"141","11.136647","213.179.201.175","10.12.223.178","UDP","118","50005  >  60052 Len=76"
"142","11.136647","213.179.201.175","10.12.223.178","UDP","118","50005  >  50868 Len=76"
"145","11.148588","213.179.201.175","10.12.223.178","UDP","114","50005  >  60052 Len=72"
"146","11.148588","213.179.201.175","10.12.223.178","UDP","114","50005  >  50868 Len=72"
"147","11.169188","213.179.201.175","10.12.223.178","UDP","114","50005  >  60052 Len=72"
"148","11.169188","213.179.201.175","10.12.223.178","UDP","114","50005  >  50868 Len=72"
"150","11.189229","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"152","11.190698","213.179.201.175","10.12.223.178","UDP","111","50005  >  50868 Len=69"
"153","11.211019","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"154","11.211019","213.179.201.175","10.12.223.178","UDP","107","50005  >  50868 Len=65"
"155","11.230378","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"156","11.230482","213.179.201.175","10.12.223.178","UDP","109","50005  >  50868 Len=67"
"157","11.249793","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"158","11.249793","213.179.201.175","10.12.223.178","UDP","106","50005  >  50868 Len=64"
"159","11.267944","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"160","11.267944","213.179.201.175","10.12.223.178","UDP","106","50005  >  50868 Len=64"
"161","11.290010","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"162","11.290010","213.179.201.175","10.12.223.178","UDP","106","50005  >  50868 Len=64"
"163","11.308485","213.179.201.175","10.12.223.178","UDP","105","50005  >  60052 Len=63"
"164","11.308485","213.179.201.175","10.12.223.178","UDP","105","50005  >  50868 Len=63"
"165","11.329313","213.179.201.175","10.12.223.178","UDP","104","50005  >  60052 Len=62"
"166","11.329313","213.179.201.175","10.12.223.178","UDP","104","50005  >  50868 Len=62"
"167","11.347910","213.179.201.175","10.12.223.178","UDP","109","50005  >  50868 Len=67"
"168","11.347910","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"169","11.369213","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"170","11.369213","213.179.201.175","10.12.223.178","UDP","111","50005  >  50868 Len=69"
"171","11.390020","213.179.201.175","10.12.223.178","UDP","108","50005  >  50868 Len=66"
"172","11.390020","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"173","11.411307","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"174","11.411307","213.179.201.175","10.12.223.178","UDP","107","50005  >  50868 Len=65"
"175","11.430024","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"176","11.430024","213.179.201.175","10.12.223.178","UDP","110","50005  >  50868 Len=68"
"177","11.449896","213.179.201.175","10.12.223.178","UDP","105","50005  >  60052 Len=63"
"178","11.449896","213.179.201.175","10.12.223.178","UDP","105","50005  >  50868 Len=63"
"179","11.468444","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"180","11.468444","213.179.201.175","10.12.223.178","UDP","108","50005  >  50868 Len=66"
"181","11.488237","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"182","11.489789","213.179.201.175","10.12.223.178","UDP","109","50005  >  50868 Len=67"
"183","11.514987","213.179.201.175","10.12.223.178","UDP","105","50005  >  60052 Len=63"
"184","11.514987","213.179.201.175","10.12.223.178","UDP","105","50005  >  50868 Len=63"
"185","11.528382","213.179.201.175","10.12.223.178","UDP","104","50005  >  60052 Len=62"
"186","11.528382","213.179.201.175","10.12.223.178","UDP","104","50005  >  50868 Len=62"
"187","11.550165","213.179.201.175","10.12.223.178","UDP","105","50005  >  60052 Len=63"
"188","11.550165","213.179.201.175","10.12.223.178","UDP","105","50005  >  50868 Len=63"
"189","11.568666","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"190","11.568666","213.179.201.175","10.12.223.178","UDP","109","50005  >  50868 Len=67"
"191","11.590401","213.179.201.175","10.12.223.178","UDP","104","50005  >  60052 Len=62"
"192","11.590401","213.179.201.175","10.12.223.178","UDP","104","50005  >  50868 Len=62"
"195","11.608060","213.179.201.175","10.12.223.178","UDP","109","50005  >  50868 Len=67"
"196","11.608060","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"197","11.629810","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"198","11.629810","213.179.201.175","10.12.223.178","UDP","109","50005  >  50868 Len=67"
"199","11.649339","213.179.201.175","10.12.223.178","UDP","117","50005  >  60052 Len=75"
