"No.","Time","Source","Destination","Protocol","Length","Info"
"12","2.413063","213.179.201.175","10.12.223.178","UDP","60","50005  >  56039 Len=8"
"53","4.291805","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"115","7.415261","213.179.201.175","10.12.223.178","UDP","60","50005  >  56039 Len=8"
"139","9.299492","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"172","11.887410","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"173","11.887410","213.179.201.175","10.12.223.178","UDP","109","50005  >  56039 Len=67"
"176","11.905657","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"177","11.905657","213.179.201.175","10.12.223.178","UDP","107","50005  >  56039 Len=65"
"178","11.926742","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"179","11.926742","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"182","11.946107","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"183","11.948016","213.179.201.175","10.12.223.178","UDP","110","50005  >  56039 Len=68"
"184","11.966250","213.179.201.175","10.12.223.178","UDP","101","50005  >  60052 Len=59"
"185","11.966250","213.179.201.175","10.12.223.178","UDP","101","50005  >  56039 Len=59"
"186","11.986477","213.179.201.175","10.12.223.178","UDP","101","50005  >  60052 Len=59"
"187","11.986477","213.179.201.175","10.12.223.178","UDP","101","50005  >  56039 Len=59"
"190","12.005912","213.179.201.175","10.12.223.178","UDP","112","50005  >  60052 Len=70"
"191","12.005912","213.179.201.175","10.12.223.178","UDP","112","50005  >  56039 Len=70"
"192","12.025706","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"193","12.025706","213.179.201.175","10.12.223.178","UDP","107","50005  >  56039 Len=65"
"194","12.046039","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"195","12.046039","213.179.201.175","10.12.223.178","UDP","109","50005  >  56039 Len=67"
"196","12.066237","213.179.201.175","10.12.223.178","UDP","106","50005  >  56039 Len=64"
"197","12.066237","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"199","12.082069","213.179.201.175","10.12.223.178","UDP","116","50005  >  51250 Len=74"
"200","12.085672","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"201","12.085672","213.179.201.175","10.12.223.178","UDP","109","50005  >  56039 Len=67"
"205","12.186448","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"206","12.187190","213.179.201.175","10.12.223.178","UDP","110","50005  >  56039 Len=68"
"207","12.187190","213.179.201.175","10.12.223.178","UDP","101","50005  >  60052 Len=59"
"208","12.187190","213.179.201.175","10.12.223.178","UDP","104","50005  >  60052 Len=62"
"209","12.187190","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"210","12.187372","213.179.201.175","10.12.223.178","UDP","104","50005  >  60052 Len=62"
"211","12.187372","213.179.201.175","10.12.223.178","UDP","101","50005  >  56039 Len=59"
"212","12.188160","213.179.201.175","10.12.223.178","UDP","104","50005  >  56039 Len=62"
"213","12.188160","213.179.201.175","10.12.223.178","UDP","108","50005  >  56039 Len=66"
"214","12.188620","213.179.201.175","10.12.223.178","UDP","104","50005  >  56039 Len=62"
"215","12.206653","213.179.201.175","10.12.223.178","UDP","103","50005  >  60052 Len=61"
"216","12.208656","213.179.201.175","10.12.223.178","UDP","103","50005  >  56039 Len=61"
"218","12.225239","213.179.201.175","10.12.223.178","UDP","105","50005  >  60052 Len=63"
"219","12.225239","213.179.201.175","10.12.223.178","UDP","105","50005  >  56039 Len=63"
"220","12.246699","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"221","12.246699","213.179.201.175","10.12.223.178","UDP","108","50005  >  56039 Len=66"
"222","12.266753","213.179.201.175","10.12.223.178","UDP","103","50005  >  60052 Len=61"
"223","12.266753","213.179.201.175","10.12.223.178","UDP","103","50005  >  56039 Len=61"
"224","12.286240","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"225","12.286240","213.179.201.175","10.12.223.178","UDP","106","50005  >  56039 Len=64"
"226","12.306913","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"227","12.306913","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"228","12.326004","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"229","12.326004","213.179.201.175","10.12.223.178","UDP","107","50005  >  56039 Len=65"
"230","12.347266","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"231","12.347266","213.179.201.175","10.12.223.178","UDP","106","50005  >  56039 Len=64"
"232","12.366089","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"233","12.366089","213.179.201.175","10.12.223.178","UDP","108","50005  >  56039 Len=66"
"234","12.387578","213.179.201.175","10.12.223.178","UDP","103","50005  >  56039 Len=61"
"235","12.387578","213.179.201.175","10.12.223.178","UDP","103","50005  >  60052 Len=61"
"236","12.405698","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"237","12.405698","213.179.201.175","10.12.223.178","UDP","107","50005  >  56039 Len=65"
"239","12.415401","213.179.201.175","10.12.223.178","UDP","60","50005  >  51250 Len=8"
"240","12.426248","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"241","12.426248","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"242","12.448781","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"243","12.448781","213.179.201.175","10.12.223.178","UDP","107","50005  >  56039 Len=65"
"244","12.465949","213.179.201.175","10.12.223.178","UDP","112","50005  >  60052 Len=70"
"245","12.465949","213.179.201.175","10.12.223.178","UDP","112","50005  >  56039 Len=70"
"246","12.488434","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"247","12.488434","213.179.201.175","10.12.223.178","UDP","107","50005  >  56039 Len=65"
"248","12.506176","213.179.201.175","10.12.223.178","UDP","114","50005  >  60052 Len=72"
"249","12.506176","213.179.201.175","10.12.223.178","UDP","114","50005  >  56039 Len=72"
"250","12.527521","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"251","12.527521","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"252","12.546295","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"253","12.546295","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"254","12.565406","213.179.201.175","10.12.223.178","UDP","118","50005  >  60052 Len=76"
"255","12.565406","213.179.201.175","10.12.223.178","UDP","118","50005  >  56039 Len=76"
"256","12.586249","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"257","12.586249","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"258","12.606747","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"259","12.606747","213.179.201.175","10.12.223.178","UDP","108","50005  >  56039 Len=66"
"260","12.632142","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"261","12.632142","213.179.201.175","10.12.223.178","UDP","110","50005  >  56039 Len=68"
"262","12.646323","213.179.201.175","10.12.223.178","UDP","102","50005  >  60052 Len=60"
"263","12.646323","213.179.201.175","10.12.223.178","UDP","102","50005  >  56039 Len=60"
"264","12.667551","213.179.201.175","10.12.223.178","UDP","102","50005  >  60052 Len=60"
"265","12.669453","213.179.201.175","10.12.223.178","UDP","102","50005  >  56039 Len=60"
"268","12.685416","213.179.201.175","10.12.223.178","UDP","103","50005  >  60052 Len=61"
"269","12.685416","213.179.201.175","10.12.223.178","UDP","103","50005  >  56039 Len=61"
"270","12.706869","213.179.201.175","10.12.223.178","UDP","97","50005  >  60052 Len=55"
"271","12.706869","213.179.201.175","10.12.223.178","UDP","97","50005  >  56039 Len=55"
"272","12.726016","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"273","12.726016","213.179.201.175","10.12.223.178","UDP","106","50005  >  56039 Len=64"
"274","12.746345","213.179.201.175","10.12.223.178","UDP","109","50005  >  60052 Len=67"
"275","12.746345","213.179.201.175","10.12.223.178","UDP","109","50005  >  56039 Len=67"
"276","12.766163","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"277","12.766163","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"278","12.786118","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"279","12.787951","213.179.201.175","10.12.223.178","UDP","106","50005  >  56039 Len=64"
"280","12.806391","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"281","12.806391","213.179.201.175","10.12.223.178","UDP","110","50005  >  56039 Len=68"
"282","12.827674","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"283","12.831113","213.179.201.175","10.12.223.178","UDP","108","50005  >  56039 Len=66"
"284","12.846526","213.179.201.175","10.12.223.178","UDP","105","50005  >  60052 Len=63"
"285","12.849831","213.179.201.175","10.12.223.178","UDP","105","50005  >  56039 Len=63"
"286","12.866124","213.179.201.175","10.12.223.178","UDP","106","50005  >  60052 Len=64"
"287","12.866124","213.179.201.175","10.12.223.178","UDP","106","50005  >  56039 Len=64"
"288","12.886002","213.179.201.175","10.12.223.178","UDP","102","50005  >  60052 Len=60"
"289","12.886002","213.179.201.175","10.12.223.178","UDP","102","50005  >  56039 Len=60"
"290","12.907336","213.179.201.175","10.12.223.178","UDP","100","50005  >  60052 Len=58"
"291","12.907336","213.179.201.175","10.12.223.178","UDP","100","50005  >  56039 Len=58"
"292","12.927263","213.179.201.175","10.12.223.178","UDP","104","50005  >  60052 Len=62"
"293","12.927263","213.179.201.175","10.12.223.178","UDP","104","50005  >  56039 Len=62"
"294","12.945411","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"295","12.945411","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"296","12.973018","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"297","12.973018","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"298","12.988860","213.179.201.175","10.12.223.178","UDP","112","50005  >  60052 Len=70"
"299","12.988860","213.179.201.175","10.12.223.178","UDP","112","50005  >  56039 Len=70"
"302","13.007736","213.179.201.175","10.12.223.178","UDP","113","50005  >  60052 Len=71"
"303","13.007736","213.179.201.175","10.12.223.178","UDP","113","50005  >  56039 Len=71"
"304","13.026457","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"305","13.026457","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"306","13.045029","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"307","13.045029","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"308","13.065322","213.179.201.175","10.12.223.178","UDP","119","50005  >  60052 Len=77"
"309","13.067450","213.179.201.175","10.12.223.178","UDP","119","50005  >  56039 Len=77"
"310","13.087601","213.179.201.175","10.12.223.178","UDP","112","50005  >  60052 Len=70"
"311","13.087601","213.179.201.175","10.12.223.178","UDP","112","50005  >  56039 Len=70"
"312","13.104965","213.179.201.175","10.12.223.178","UDP","121","50005  >  60052 Len=79"
"313","13.104965","213.179.201.175","10.12.223.178","UDP","121","50005  >  56039 Len=79"
"314","13.125915","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"315","13.125915","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"316","13.147638","213.179.201.175","10.12.223.178","UDP","111","50005  >  60052 Len=69"
"317","13.147638","213.179.201.175","10.12.223.178","UDP","111","50005  >  56039 Len=69"
"318","13.165927","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"319","13.165927","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"321","13.191734","213.179.201.175","10.12.223.178","UDP","114","50005  >  60052 Len=72"
"322","13.191734","213.179.201.175","10.12.223.178","UDP","114","50005  >  56039 Len=72"
"324","13.207478","213.179.201.175","10.12.223.178","UDP","112","50005  >  60052 Len=70"
"325","13.207478","213.179.201.175","10.12.223.178","UDP","112","50005  >  56039 Len=70"
"326","13.226496","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"327","13.226496","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"328","13.245155","213.179.201.175","10.12.223.178","UDP","118","50005  >  60052 Len=76"
"329","13.245155","213.179.201.175","10.12.223.178","UDP","118","50005  >  56039 Len=76"
"330","13.268079","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"331","13.268079","213.179.201.175","10.12.223.178","UDP","110","50005  >  56039 Len=68"
"332","13.285444","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"333","13.285444","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"334","13.307215","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"335","13.307277","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"336","13.326874","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"337","13.326874","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"338","13.348944","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"339","13.348944","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"340","13.368151","213.179.201.175","10.12.223.178","UDP","144","50005  >  60052 Len=102"
"341","13.368151","213.179.201.175","10.12.223.178","UDP","144","50005  >  56039 Len=102"
"342","13.388491","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"343","13.388491","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"344","13.406980","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"345","13.406980","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"346","13.429033","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"347","13.429033","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"348","13.445486","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"349","13.445486","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"350","13.466856","213.179.201.175","10.12.223.178","UDP","119","50005  >  60052 Len=77"
"351","13.466856","213.179.201.175","10.12.223.178","UDP","119","50005  >  56039 Len=77"
"352","13.487056","213.179.201.175","10.12.223.178","UDP","118","50005  >  60052 Len=76"
"353","13.487056","213.179.201.175","10.12.223.178","UDP","118","50005  >  56039 Len=76"
"354","13.505945","213.179.201.175","10.12.223.178","UDP","108","50005  >  56039 Len=66"
"355","13.505945","213.179.201.175","10.12.223.178","UDP","108","50005  >  60052 Len=66"
"356","13.528321","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"357","13.528321","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"358","13.546182","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"359","13.546182","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"360","13.566720","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"361","13.566720","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"362","13.585944","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"363","13.585944","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"364","13.606615","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"365","13.606615","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"366","13.627054","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"367","13.627609","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"368","13.648658","213.179.201.175","10.12.223.178","UDP","116","50005  >  60052 Len=74"
"369","13.648658","213.179.201.175","10.12.223.178","UDP","116","50005  >  56039 Len=74"
"370","13.665787","213.179.201.175","10.12.223.178","UDP","114","50005  >  60052 Len=72"
"371","13.665787","213.179.201.175","10.12.223.178","UDP","114","50005  >  56039 Len=72"
"372","13.691494","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"373","13.691494","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"376","13.705922","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"377","13.705922","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"378","13.726778","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"379","13.726778","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"380","13.747872","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"381","13.747872","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
"382","13.765468","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"383","13.765468","213.179.201.175","10.12.223.178","UDP","115","50005  >  56039 Len=73"
