"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.081552","213.179.201.175","10.12.223.178","UDP","116","50005  >  49884 Len=74"
"8","0.404036","213.179.201.175","10.12.223.178","UDP","60","50005  >  49884 Len=8"
"43","2.106847","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"97","5.406323","213.179.201.175","10.12.223.178","UDP","60","50005  >  49884 Len=8"
"110","7.121138","213.179.201.175","10.12.223.178","UDP","60","50005  >  60052 Len=8"
"177","9.907871","213.179.201.175","10.12.223.178","UDP","115","50005  >  60052 Len=73"
"178","9.907871","213.179.201.175","10.12.223.178","UDP","115","50005  >  49884 Len=73"
"179","9.921029","213.179.201.175","10.12.223.178","UDP","120","50005  >  49884 Len=78"
"180","9.921029","213.179.201.175","10.12.223.178","UDP","120","50005  >  60052 Len=78"
"181","9.921701","213.179.201.175","10.12.223.178","UDP","128","50005  >  49884 Len=86"
"182","9.921701","213.179.201.175","10.12.223.178","UDP","128","50005  >  60052 Len=86"
"187","9.930106","213.179.201.175","10.12.223.178","UDP","124","50005  >  49884 Len=82"
"188","9.930106","213.179.201.175","10.12.223.178","UDP","124","50005  >  60052 Len=82"
"191","9.948027","213.179.201.175","10.12.223.178","UDP","107","50005  >  49884 Len=65"
"192","9.948027","213.179.201.175","10.12.223.178","UDP","107","50005  >  60052 Len=65"
"193","9.968249","213.179.201.175","10.12.223.178","UDP","110","50005  >  49884 Len=68"
"194","9.968249","213.179.201.175","10.12.223.178","UDP","110","50005  >  60052 Len=68"
"195","9.989013","213.179.201.175","10.12.223.178","UDP","124","50005  >  60052 Len=82"
"196","9.989013","213.179.201.175","10.12.223.178","UDP","124","50005  >  49884 Len=82"
"199","10.007837","213.179.201.175","10.12.223.178","UDP","124","50005  >  49884 Len=82"
"200","10.007837","213.179.201.175","10.12.223.178","UDP","124","50005  >  60052 Len=82"
"201","10.029124","213.179.201.175","10.12.223.178","UDP","130","50005  >  49884 Len=88"
"202","10.029124","213.179.201.175","10.12.223.178","UDP","130","50005  >  60052 Len=88"
"203","10.050547","213.179.201.175","10.12.223.178","UDP","124","50005  >  49884 Len=82"
"204","10.050547","213.179.201.175","10.12.223.178","UDP","124","50005  >  60052 Len=82"
"205","10.070462","213.179.201.175","10.12.223.178","UDP","125","50005  >  49884 Len=83"
"206","10.070462","213.179.201.175","10.12.223.178","UDP","125","50005  >  60052 Len=83"
"207","10.088543","213.179.201.175","10.12.223.178","UDP","125","50005  >  60052 Len=83"
"208","10.088543","213.179.201.175","10.12.223.178","UDP","125","50005  >  49884 Len=83"
"209","10.108526","213.179.201.175","10.12.223.178","UDP","119","50005  >  49884 Len=77"
