"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.12.10.125","213.179.201.175","UDP","50","53411  >  50005 Len=8"
"13","1.835048","10.12.10.125","213.179.201.175","UDP","50","55096  >  50005 Len=8"
"31","5.000830","10.12.10.125","213.179.201.175","UDP","50","53411  >  50005 Len=8"
"70","6.835112","10.12.10.125","213.179.201.175","UDP","50","55096  >  50005 Len=8"
"99","10.000499","10.12.10.125","213.179.201.175","UDP","50","53411  >  50005 Len=8"
"127","11.835034","10.12.10.125","213.179.201.175","UDP","50","55096  >  50005 Len=8"
"165","14.263409","10.12.10.125","213.179.201.175","UDP","77","55096  >  50005 Len=35"
"167","14.290079","10.12.10.125","213.179.201.175","UDP","608","55096  >  50005 Len=566"
"169","14.303546","10.12.10.125","213.179.201.175","UDP","490","55096  >  50005 Len=448"
"172","14.324613","10.12.10.125","213.179.201.175","UDP","378","55096  >  50005 Len=336"
"174","14.344706","10.12.10.125","213.179.201.175","UDP","380","55096  >  50005 Len=338"
"178","14.364980","10.12.10.125","213.179.201.175","UDP","373","55096  >  50005 Len=331"
"180","14.384252","10.12.10.125","213.179.201.175","UDP","379","55096  >  50005 Len=337"
"182","14.403132","10.12.10.125","213.179.201.175","UDP","379","55096  >  50005 Len=337"
"185","14.423055","10.12.10.125","213.179.201.175","UDP","379","55096  >  50005 Len=337"
"187","14.444081","10.12.10.125","213.179.201.175","UDP","378","55096  >  50005 Len=336"
"190","14.463885","10.12.10.125","213.179.201.175","UDP","382","55096  >  50005 Len=340"
"192","14.483205","10.12.10.125","213.179.201.175","UDP","377","55096  >  50005 Len=335"
"194","14.503344","10.12.10.125","213.179.201.175","UDP","379","55096  >  50005 Len=337"
"196","14.526124","10.12.10.125","213.179.201.175","UDP","376","55096  >  50005 Len=334"
"198","14.544083","10.12.10.125","213.179.201.175","UDP","377","55096  >  50005 Len=335"
"200","14.563921","10.12.10.125","213.179.201.175","UDP","378","55096  >  50005 Len=336"
"202","14.583479","10.12.10.125","213.179.201.175","UDP","373","55096  >  50005 Len=331"
"204","14.605688","10.12.10.125","213.179.201.175","UDP","376","55096  >  50005 Len=334"
"206","14.623241","10.12.10.125","213.179.201.175","UDP","382","55096  >  50005 Len=340"
"208","14.643464","10.12.10.125","213.179.201.175","UDP","378","55096  >  50005 Len=336"
"210","14.667763","10.12.10.125","213.179.201.175","UDP","378","55096  >  50005 Len=336"
"212","14.683391","10.12.10.125","213.179.201.175","UDP","395","55096  >  50005 Len=353"
"214","14.703743","10.12.10.125","213.179.201.175","UDP","395","55096  >  50005 Len=353"
"218","14.722967","10.12.10.125","213.179.201.175","UDP","395","55096  >  50005 Len=353"
"220","14.743835","10.12.10.125","213.179.201.175","UDP","395","55096  >  50005 Len=353"
"222","14.763706","10.12.10.125","213.179.201.175","UDP","395","55096  >  50005 Len=353"
"224","14.783529","10.12.10.125","213.179.201.175","UDP","395","55096  >  50005 Len=353"
"226","14.804118","10.12.10.125","213.179.201.175","UDP","557","55096  >  50005 Len=515"
