"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.806500","10.12.10.125","213.179.201.175","UDP","50","59062  >  50005 Len=8"
"60","4.828144","10.12.10.125","213.179.201.175","UDP","50","58832  >  50005 Len=8"
"90","5.807024","10.12.10.125","213.179.201.175","UDP","50","59062  >  50005 Len=8"
"261","9.828192","10.12.10.125","213.179.201.175","UDP","50","58832  >  50005 Len=8"
"282","10.806631","10.12.10.125","213.179.201.175","UDP","50","59062  >  50005 Len=8"
"303","11.884288","10.12.10.125","213.179.201.175","UDP","109","58832  >  50005 Len=67"
"305","11.902462","10.12.10.125","213.179.201.175","UDP","107","58832  >  50005 Len=65"
"308","11.923554","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"311","11.943296","10.12.10.125","213.179.201.175","UDP","110","58832  >  50005 Len=68"
"314","11.963280","10.12.10.125","213.179.201.175","UDP","101","58832  >  50005 Len=59"
"316","11.982790","10.12.10.125","213.179.201.175","UDP","101","58832  >  50005 Len=59"
"320","12.002693","10.12.10.125","213.179.201.175","UDP","112","58832  >  50005 Len=70"
"322","12.022754","10.12.10.125","213.179.201.175","UDP","107","58832  >  50005 Len=65"
"324","12.042599","10.12.10.125","213.179.201.175","UDP","109","58832  >  50005 Len=67"
"326","12.063107","10.12.10.125","213.179.201.175","UDP","106","58832  >  50005 Len=64"
"328","12.082597","10.12.10.125","213.179.201.175","UDP","109","58832  >  50005 Len=67"
"330","12.102708","10.12.10.125","213.179.201.175","UDP","110","58832  >  50005 Len=68"
"331","12.129361","10.12.10.125","213.179.201.175","UDP","101","58832  >  50005 Len=59"
"332","12.142267","10.12.10.125","213.179.201.175","UDP","104","58832  >  50005 Len=62"
"333","12.162696","10.12.10.125","213.179.201.175","UDP","108","58832  >  50005 Len=66"
"334","12.183446","10.12.10.125","213.179.201.175","UDP","104","58832  >  50005 Len=62"
"340","12.203086","10.12.10.125","213.179.201.175","UDP","103","58832  >  50005 Len=61"
"342","12.222387","10.12.10.125","213.179.201.175","UDP","105","58832  >  50005 Len=63"
"344","12.243441","10.12.10.125","213.179.201.175","UDP","108","58832  >  50005 Len=66"
"346","12.263251","10.12.10.125","213.179.201.175","UDP","103","58832  >  50005 Len=61"
"348","12.282701","10.12.10.125","213.179.201.175","UDP","106","58832  >  50005 Len=64"
"350","12.303710","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"352","12.322839","10.12.10.125","213.179.201.175","UDP","107","58832  >  50005 Len=65"
"356","12.344137","10.12.10.125","213.179.201.175","UDP","106","58832  >  50005 Len=64"
"358","12.362989","10.12.10.125","213.179.201.175","UDP","108","58832  >  50005 Len=66"
"360","12.384267","10.12.10.125","213.179.201.175","UDP","103","58832  >  50005 Len=61"
"362","12.402366","10.12.10.125","213.179.201.175","UDP","107","58832  >  50005 Len=65"
"364","12.422748","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
"366","12.443542","10.12.10.125","213.179.201.175","UDP","107","58832  >  50005 Len=65"
"368","12.463103","10.12.10.125","213.179.201.175","UDP","112","58832  >  50005 Len=70"
"370","12.485311","10.12.10.125","213.179.201.175","UDP","107","58832  >  50005 Len=65"
"372","12.502890","10.12.10.125","213.179.201.175","UDP","114","58832  >  50005 Len=72"
"374","12.523701","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
"376","12.543219","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
"378","12.562231","10.12.10.125","213.179.201.175","UDP","118","58832  >  50005 Len=76"
"380","12.583096","10.12.10.125","213.179.201.175","UDP","115","58832  >  50005 Len=73"
"382","12.602214","10.12.10.125","213.179.201.175","UDP","108","58832  >  50005 Len=66"
"386","12.629434","10.12.10.125","213.179.201.175","UDP","110","58832  >  50005 Len=68"
"388","12.642967","10.12.10.125","213.179.201.175","UDP","102","58832  >  50005 Len=60"
"390","12.664122","10.12.10.125","213.179.201.175","UDP","102","58832  >  50005 Len=60"
"392","12.682387","10.12.10.125","213.179.201.175","UDP","103","58832  >  50005 Len=61"
"394","12.702596","10.12.10.125","213.179.201.175","UDP","97","58832  >  50005 Len=55"
"396","12.722877","10.12.10.125","213.179.201.175","UDP","106","58832  >  50005 Len=64"
"398","12.742962","10.12.10.125","213.179.201.175","UDP","109","58832  >  50005 Len=67"
"400","12.762886","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"402","12.783323","10.12.10.125","213.179.201.175","UDP","106","58832  >  50005 Len=64"
"404","12.803300","10.12.10.125","213.179.201.175","UDP","110","58832  >  50005 Len=68"
"406","12.822719","10.12.10.125","213.179.201.175","UDP","108","58832  >  50005 Len=66"
"408","12.843717","10.12.10.125","213.179.201.175","UDP","105","58832  >  50005 Len=63"
"410","12.862836","10.12.10.125","213.179.201.175","UDP","106","58832  >  50005 Len=64"
"413","12.883153","10.12.10.125","213.179.201.175","UDP","102","58832  >  50005 Len=60"
"416","12.903523","10.12.10.125","213.179.201.175","UDP","100","58832  >  50005 Len=58"
"419","12.922917","10.12.10.125","213.179.201.175","UDP","104","58832  >  50005 Len=62"
"422","12.941905","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"424","12.963900","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"426","12.985396","10.12.10.125","213.179.201.175","UDP","112","58832  >  50005 Len=70"
"430","13.003090","10.12.10.125","213.179.201.175","UDP","113","58832  >  50005 Len=71"
"432","13.022911","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"434","13.042083","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
"436","13.062488","10.12.10.125","213.179.201.175","UDP","119","58832  >  50005 Len=77"
"443","13.083054","10.12.10.125","213.179.201.175","UDP","112","58832  >  50005 Len=70"
"448","13.102232","10.12.10.125","213.179.201.175","UDP","121","58832  >  50005 Len=79"
"450","13.123083","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
"453","13.144286","10.12.10.125","213.179.201.175","UDP","111","58832  >  50005 Len=69"
"457","13.163041","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
"459","13.182300","10.12.10.125","213.179.201.175","UDP","114","58832  >  50005 Len=72"
"461","13.203286","10.12.10.125","213.179.201.175","UDP","112","58832  >  50005 Len=70"
"463","13.223197","10.12.10.125","213.179.201.175","UDP","115","58832  >  50005 Len=73"
"465","13.242242","10.12.10.125","213.179.201.175","UDP","118","58832  >  50005 Len=76"
"467","13.263190","10.12.10.125","213.179.201.175","UDP","110","58832  >  50005 Len=68"
"469","13.282438","10.12.10.125","213.179.201.175","UDP","115","58832  >  50005 Len=73"
"471","13.302457","10.12.10.125","213.179.201.175","UDP","116","58832  >  50005 Len=74"
