"No.","Time","Source","Destination","Protocol","Length","Info"
"10","1.613265","10.12.10.125","213.179.201.175","UDP","50","64487  >  50005 Len=8"
"69","4.867807","10.12.10.125","213.179.201.175","UDP","50","61982  >  50005 Len=8"
"149","6.614073","10.12.10.125","213.179.201.175","UDP","50","64487  >  50005 Len=8"
"172","9.868823","10.12.10.125","213.179.201.175","UDP","50","61982  >  50005 Len=8"
"211","11.614222","10.12.10.125","213.179.201.175","UDP","50","64487  >  50005 Len=8"
"220","12.142172","10.12.10.125","213.179.201.175","UDP","615","61982  >  50005 Len=573"
"223","12.165686","10.12.10.125","213.179.201.175","UDP","370","61982  >  50005 Len=328"
"225","12.181765","10.12.10.125","213.179.201.175","UDP","371","61982  >  50005 Len=329"
"229","12.203976","10.12.10.125","213.179.201.175","UDP","376","61982  >  50005 Len=334"
"231","12.222227","10.12.10.125","213.179.201.175","UDP","375","61982  >  50005 Len=333"
"233","12.242063","10.12.10.125","213.179.201.175","UDP","388","61982  >  50005 Len=346"
"235","12.262106","10.12.10.125","213.179.201.175","UDP","402","61982  >  50005 Len=360"
"237","12.281645","10.12.10.125","213.179.201.175","UDP","419","61982  >  50005 Len=377"
"239","12.301619","10.12.10.125","213.179.201.175","UDP","423","61982  >  50005 Len=381"
"241","12.321509","10.12.10.125","213.179.201.175","UDP","419","61982  >  50005 Len=377"
"243","12.341506","10.12.10.125","213.179.201.175","UDP","421","61982  >  50005 Len=379"
"245","12.361515","10.12.10.125","213.179.201.175","UDP","419","61982  >  50005 Len=377"
"247","12.381188","10.12.10.125","213.179.201.175","UDP","424","61982  >  50005 Len=382"
"249","12.402171","10.12.10.125","213.179.201.175","UDP","428","61982  >  50005 Len=386"
"251","12.422274","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"253","12.442111","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"255","12.461951","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"257","12.481933","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"259","12.506020","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"262","12.521815","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"264","12.543890","10.12.10.125","213.179.201.175","UDP","392","61982  >  50005 Len=350"
"266","12.561816","10.12.10.125","213.179.201.175","UDP","393","61982  >  50005 Len=351"
"268","12.581868","10.12.10.125","213.179.201.175","UDP","390","61982  >  50005 Len=348"
"270","12.600983","10.12.10.125","213.179.201.175","UDP","401","61982  >  50005 Len=359"
"273","12.621932","10.12.10.125","213.179.201.175","UDP","399","61982  >  50005 Len=357"
"276","12.641224","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"278","12.661710","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"280","12.681478","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"282","12.700537","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
"284","12.720683","10.12.10.125","213.179.201.175","UDP","392","61982  >  50005 Len=350"
"286","12.741576","10.12.10.125","213.179.201.175","UDP","389","61982  >  50005 Len=347"
"288","12.761010","10.12.10.125","213.179.201.175","UDP","392","61982  >  50005 Len=350"
"290","12.781968","10.12.10.125","213.179.201.175","UDP","394","61982  >  50005 Len=352"
"292","12.801432","10.12.10.125","213.179.201.175","UDP","397","61982  >  50005 Len=355"
"294","12.820507","10.12.10.125","213.179.201.175","UDP","396","61982  >  50005 Len=354"
"296","12.840650","10.12.10.125","213.179.201.175","UDP","394","61982  >  50005 Len=352"
"298","12.865703","10.12.10.125","213.179.201.175","UDP","395","61982  >  50005 Len=353"
